Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,home_rest_days_fixed,away_rest_days_fixed,rest_days_diff_fixed,home_matches_7days,away_matches_7days,home_form_3_fixed,away_form_3_fixed,form_diff_3_fixed,home_non_epl_load_7days_fixed,away_non_epl_load_7days_fixed,load_diff_7days_fixed,home_shot_accuracy,away_shot_accuracy
2015-10-25,Man United,Man City,0,0,D,0,0,D,M Clattenburg,6,6,1,1,17,13,6,4,2,2,0,0,2015-2016,4,4,0,1,1,2.3333333333333335,3.0,-0.6666666666666665,1,1,0,0.14285714285714285,0.14285714285714285
2015-10-25,Sunderland,Newcastle,3,0,H,1,0,H,R Madley,9,21,3,8,12,10,1,10,0,2,0,1,2015-2016,8,7,1,0,2,0.3333333333333333,2.0,-1.6666666666666667,0,1,-1,0.3,0.36363636363636365
2015-10-31,Chelsea,Liverpool,1,3,A,1,1,D,M Clattenburg,8,16,2,7,9,21,1,7,1,4,0,0,2015-2016,4,3,1,3,3,0.0,1.6666666666666667,-1.6666666666666667,2,2,0,0.2222222222222222,0.4117647058823529
2015-10-31,Crystal Palace,Man United,0,0,D,0,0,D,M Jones,10,5,5,1,12,15,7,3,3,3,0,0,2015-2016,3,3,0,3,3,0.0,0.6666666666666666,-0.6666666666666666,2,2,0,0.45454545454545453,0.16666666666666666
2015-10-31,Man City,Norwich,2,1,H,0,0,D,R Madley,21,5,5,3,4,13,12,4,2,2,0,1,2015-2016,3,4,-1,3,3,1.6666666666666667,0.0,1.6666666666666667,2,2,0,0.22727272727272727,0.5
2015-10-31,Newcastle,Stoke,0,0,D,0,0,D,R East,15,9,6,2,6,16,11,4,1,3,0,0,2015-2016,6,4,2,2,3,1.0,1.0,0.0,1,2,-1,0.375,0.2
2015-10-31,Swansea,Arsenal,0,3,A,0,0,D,K Friend,8,15,3,5,12,7,4,4,2,0,0,0,2015-2016,7,4,3,2,3,2.0,2.0,0.0,1,2,-1,0.3333333333333333,0.3125
2015-10-31,Watford,West Ham,2,0,H,1,0,H,K Stroud,20,8,5,3,16,12,7,2,3,0,0,1,2015-2016,7,7,0,2,2,2.0,3.0,-1.0,1,1,0,0.23809523809523808,0.3333333333333333
2015-10-31,West Brom,Leicester,2,3,A,1,0,H,A Taylor,14,13,6,5,3,11,6,4,0,2,0,0,2015-2016,7,4,3,2,3,3.0,2.0,1.0,1,2,-1,0.4,0.35714285714285715
2015-11-01,Everton,Sunderland,6,2,H,2,1,H,A Marriner,15,17,8,9,6,5,6,1,3,2,0,0,2015-2016,5,7,-2,1,2,1.0,2.0,-1.0,1,1,0,0.5,0.5
